CSV Position, Attribute Name, Vendor, CDR Number
1, Accounting Status, none, 40
2, NAS IP Address, none, 4
3, NAS Port, none, 5
4, Accounting Session ID, none, 44
5, Ingress Session ID, ACME, 3
6, Egress Session ID, ACME, 4
7, Session Protocol Type, ACME, 43
8, Session-Forked-Call-Id, ACME, 171
9, Generic ID, ACME, 40
10, Calling Station ID, none, 31
11, Called Station ID, none, 30
12, Accounting Termination Cause, none, 49
13, Accounting Session Time, none, 46
14, CISCO Setup Time, CISCO, 25
15, CISCO Connect Time, CISCO, 28
16, CISCO Disconnect Time, CISCO, 29
17, CISCO Disconnect Cause, CISCO, 30
18, Egress Network Interface ID, ACME, 139
19, Egress Vlan Tag Value, ACME, 140
20, Ingress Network Interface ID, ACME, 137
21, Ingress Vlan Tag Value, ACME, 138
22, Egress Realm, ACME, 42
23, Ingress Realm, ACME, 41
24, Flow Identifier, ACME, 1
25, Flow Type, ACME, 2
26, Flow Input Realm, ACME, 10
27, Flow Input Src Addr, ACME, 11
28, Flow Input Src Port, ACME, 12
29, Flow Input Dest Address, ACME, 13
30, Flow Input Dest Port, ACME, 14
31, Flow Output Realm, ACME, 20
32, Flow Output Src Address, ACME, 21
33, Flow Output Src Port, ACME, 22
34, Flow Output Dest Addr, ACME, 23
35, Flow Output Dest Port, ACME, 24
36, RTCP Calling Packets Lost, ACME, 32
37, RTCP Calling Avg Jitter (msec), ACME, 33
38, RTCP Calling Avg Latency (msec), ACME, 34
39, RTCP Calling Max Jitter (msec), ACME, 35
41, RTP Calling Packets Lost, ACME, 37
40, RTCP Calling Max Latency (msec), ACME, 36
42, RTP Calling Avg Jitter (msec), ACME, 38
43, RTP Calling Max Jitter (msec), ACME, 39
44, RTP Calling Octets, ACME, 28
45, RTP Calling Packets, ACME, 29
46, Calling R-Factor, ACME, 151
47, Calling MOS, ACME, 152
48, Flow Identifier, ACME, 78
49, Flow Type, ACME, 79
50, Flow Input Realm, ACME, 80
51, Flow Input Src Addr, ACME, 81
52, Flow Input Src Port, ACME, 82
53, Flow Input Dest Address, ACME, 83
54, Flow Input Dest Port, ACME, 84
